fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#FF0000	0	0	glmnet 1 0	glmnet	glmnet	0
#FF0000	0.014996342355523	0.114986376021798	glmnet 1 1	glmnet	glmnet	1
#FF0000	0.0249939039258717	0.16566757493188	glmnet 1 2	glmnet	glmnet	2
#FF0000	0.0349914654962204	0.209809264305177	glmnet 1 3	glmnet	glmnet	3
#FF0000	0.0449890270665691	0.240871934604905	glmnet 1 4	glmnet	glmnet	4
#FF0000	0.0549865886369178	0.284468664850136	glmnet 1 5	glmnet	glmnet	5
#FF0000	0.0649841502072665	0.334604904632153	glmnet 1 6	glmnet	glmnet	6
#FF0000	0.0749817117776152	0.377111716621253	glmnet 1 7	glmnet	glmnet	7
#FF0000	0.0849792733479639	0.409264305177112	glmnet 1 8	glmnet	glmnet	8
#FF0000	0.0949768349183126	0.439237057220709	glmnet 1 9	glmnet	glmnet	9
#FF0000	0.104974396488661	0.472479564032698	glmnet 1 10	glmnet	glmnet	10
#FF0000	0.11497195805901	0.497547683923706	glmnet 1 11	glmnet	glmnet	11
#FF0000	0.124969519629359	0.52425068119891	glmnet 1 12	glmnet	glmnet	12
#FF0000	0.134967081199707	0.547138964577657	glmnet 1 13	glmnet	glmnet	13
#FF0000	0.144964642770056	0.574931880108992	glmnet 1 14	glmnet	glmnet	14
#FF0000	0.154962204340405	0.598365122615804	glmnet 1 15	glmnet	glmnet	15
#FF0000	0.164959765910753	0.619073569482289	glmnet 1 16	glmnet	glmnet	16
#FF0000	0.174957327481102	0.643051771117166	glmnet 1 17	glmnet	glmnet	17
#FF0000	0.184954889051451	0.66158038147139	glmnet 1 18	glmnet	glmnet	18
#FF0000	0.1949524506218	0.685013623978202	glmnet 1 19	glmnet	glmnet	19
#FF0000	0.204950012192148	0.705177111716621	glmnet 1 20	glmnet	glmnet	20
#FF0000	0.214947573762497	0.729700272479564	glmnet 1 21	glmnet	glmnet	21
#FF0000	0.224945135332846	0.748228882833788	glmnet 1 22	glmnet	glmnet	22
#FF0000	0.234942696903194	0.768392370572207	glmnet 1 23	glmnet	glmnet	23
#FF0000	0.244940258473543	0.785286103542234	glmnet 1 24	glmnet	glmnet	24
#FF0000	0.254937820043892	0.804904632152589	glmnet 1 25	glmnet	glmnet	25
#FF0000	0.26493538161424	0.821798365122616	glmnet 1 26	glmnet	glmnet	26
#FF0000	0.274932943184589	0.836512261580382	glmnet 1 27	glmnet	glmnet	27
#FF0000	0.284930504754938	0.846866485013624	glmnet 1 28	glmnet	glmnet	28
#FF0000	0.294928066325287	0.857765667574932	glmnet 1 29	glmnet	glmnet	29
#FF0000	0.304925627895635	0.869209809264305	glmnet 1 30	glmnet	glmnet	30
#FF0000	0.314923189465984	0.880108991825613	glmnet 1 31	glmnet	glmnet	31
#FF0000	0.324920751036333	0.894277929155313	glmnet 1 32	glmnet	glmnet	32
#FF0000	0.334918312606681	0.906267029972752	glmnet 1 33	glmnet	glmnet	33
#FF0000	0.34491587417703	0.914986376021798	glmnet 1 34	glmnet	glmnet	34
#FF0000	0.354913435747379	0.922615803814714	glmnet 1 35	glmnet	glmnet	35
#FF0000	0.364910997317727	0.929700272479564	glmnet 1 36	glmnet	glmnet	36
#FF0000	0.374908558888076	0.93732970027248	glmnet 1 37	glmnet	glmnet	37
#FF0000	0.384906120458425	0.943869209809264	glmnet 1 38	glmnet	glmnet	38
#FF0000	0.394903682028773	0.949863760217984	glmnet 1 39	glmnet	glmnet	39
#FF0000	0.404901243599122	0.954768392370572	glmnet 1 40	glmnet	glmnet	40
#FF0000	0.414898805169471	0.959128065395095	glmnet 1 41	glmnet	glmnet	41
#FF0000	0.42489636673982	0.964577656675749	glmnet 1 42	glmnet	glmnet	42
#FF0000	0.434893928310168	0.968937329700272	glmnet 1 43	glmnet	glmnet	43
#FF0000	0.444891489880517	0.972207084468665	glmnet 1 44	glmnet	glmnet	44
#FF0000	0.454889051450866	0.974931880108992	glmnet 1 45	glmnet	glmnet	45
#FF0000	0.464886613021214	0.976566757493188	glmnet 1 46	glmnet	glmnet	46
#FF0000	0.474884174591563	0.982561307901907	glmnet 1 47	glmnet	glmnet	47
#FF0000	0.484881736161912	0.985286103542234	glmnet 1 48	glmnet	glmnet	48
#FF0000	0.49487929773226	0.986920980926431	glmnet 1 49	glmnet	glmnet	49
#FF0000	0.504998780785174	0.989100817438692	glmnet 1 50	glmnet	glmnet	50
#FF0000	0.514996342355523	0.990190735694823	glmnet 1 51	glmnet	glmnet	51
#FF0000	0.524993903925872	0.990735694822888	glmnet 1 52	glmnet	glmnet	52
#FF0000	0.534991465496221	0.991825613079019	glmnet 1 53	glmnet	glmnet	53
#FF0000	0.544989027066569	0.991825613079019	glmnet 1 54	glmnet	glmnet	54
#FF0000	0.554986588636918	0.992370572207084	glmnet 1 55	glmnet	glmnet	55
#FF0000	0.564984150207267	0.994550408719346	glmnet 1 56	glmnet	glmnet	56
#FF0000	0.574981711777615	0.996185286103542	glmnet 1 57	glmnet	glmnet	57
#FF0000	0.584979273347964	0.996185286103542	glmnet 1 58	glmnet	glmnet	58
#FF0000	0.594976834918313	0.996185286103542	glmnet 1 59	glmnet	glmnet	59
